designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 3412089974640037248",3412089974640037248,74.95501567437766,21.409708373397223,,,,,20.994678,21.329708,19.863611,1.4660969,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293789120559934464",3293789120559934464,68.9719066441347,10.373990502023899,0.5672863367323748,-0.896548449290569,-1.3761935852231646,0.996367,20.004692,20.581213,19.29712,1.2840939,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293984004701216512",3293984004701216512,70.70717832231101,10.46741103336683,0.6533342775723704,6.99546839459406,-4.7144376281473175,0.988608,19.4873,20.268192,18.708681,1.5595112,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3294036815618551552",3294036815618551552,70.54338894799025,10.626718936000419,0.0589828724848006,0.7188365943743883,0.26074354773314884,0.9759393,19.445276,19.913368,18.848677,1.0646915,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3295661240969455744",3295661240969455744,72.67764066082013,11.696875516297572,0.5257640707004287,-0.4050285039383005,-1.7734473806373432,0.9811408,20.185942,20.75087,19.403673,1.3471966,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3295661245265600512",3295661245265600512,72.68137507770342,11.699010548117236,,,,,21.233744,21.665821,20.174887,1.4909344,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3295739031417874944",3295739031417874944,71.86298084139234,11.942334310486126,0.11299652316363731,1.0641912325122616,-0.7118635920685966,1.0132115,20.092276,20.385994,19.358753,1.0272408,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3294367669835652608",3294367669835652608,70.11863679594074,11.697472058477357,0.3484895127942364,1.5727286804656346,0.3299501441078555,0.96427995,15.982074,16.562841,15.237555,1.3252869,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 3293056158622628608",3293056158622628608,70.81437946322059,9.509949408313089,-1.8625940434827506,-0.9578063359494879,-7.652207638591209,10.55858,16.054136,16.524027,14.969125,1.5549021,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 3295296512347071232",3295296512347071232,74.24849492808104,12.26124357466799,0.023445186489041266,0.7454197055456464,0.3278538908871188,1.0252206,19.271547,19.968664,18.512415,1.4562492,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3295296512349969408",3295296512349969408,74.2473858076557,12.260457834317865,,,,,20.976938,20.483776,20.253948,0.22982788,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3291963686444882688",3291963686444882688,75.24143535610484,11.05972452835268,0.45698783123531417,-0.5900901270204572,-0.3397469400684633,1.0342816,19.525415,19.916126,19.001163,0.91496277,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3291967294217441408",3291967294217441408,75.50206637758902,11.111112078243663,0.29324254799058885,1.1356822916804834,2.9400413947072765,0.9778131,19.275734,20.076338,18.343039,1.7332993,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293765000026222464",3293765000026222464,68.61471592904962,10.23382108216365,,,,,20.726606,19.057133,17.366314,1.6908188,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293781733217292800",3293781733217292800,68.44004046665347,10.331240660084621,,,,,21.250082,21.87717,20.019806,1.8573647,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293782794073778304",3293782794073778304,68.55334012163205,10.36765701649786,,,,,20.9339,21.056753,20.331278,0.7254753,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293779946511231616",3293779946511231616,68.61309911515961,10.37298193169875,,,,,20.802849,21.245544,20.18269,1.0628548,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293781763281614720",3293781763281614720,68.41360552435576,10.339538026057783,0.29995366120085576,0.749380386008747,-0.6142124596442498,0.99944085,19.375565,19.949682,18.612623,1.337059,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293761289174472064",3293761289174472064,68.80238353139514,10.182055292636703,0.2692787098821322,9.52213607249518,-13.853421556864223,0.94146055,19.73657,20.425285,18.944647,1.4806385,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293761319236729728",3293761319236729728,68.81184482305868,10.190463261055028,1.0300178932561868,8.920471042778853,-3.0977037877709925,1.0569459,19.781656,20.102697,19.06569,1.0370083,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293761357892677376",3293761357892677376,68.86586649676413,10.165107980216238,0.8725704200884635,5.104864747252384,-1.5079103055262935,1.0431069,15.875954,16.421076,15.168418,1.2526579,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4829.31,4.322,-1.0026,1017.1511,0.3777,0.2972,0.1599
